"Zeitstempel","Ich bin sportlich","Ich bin fleißig.","Von Rückschlägen lasse ich mich nicht entmutigen.","Meine Fähigkeiten und Talente sind vorgegeben und ich kann daran nicht viel ändern.","1990 lebten 58 % der Weltbevölkerung in Ländern mit niedrigem Einkommen. Wie hoch ist der Anteil heute? Geben Sie eine Zahl ein (z. B. 9, 37 oder 61)","Wie viel der weltweit verbrauchten Energie stammt aus Erdgas, Kohle und Öl?","Welcher Anteil der Weltbevölkerung lebt in Megacitys (Städte mit mindestens 10 Millionen Einwohnern)?","Wie viele Geleebohnen befinden sich in diesem sechseckigen Glas?","Wie viele Minuten verbringen Sie an einem typischen Tag in sozialen Medien (Facebook, Instagram, Snapchat, etc.)?","Wie viele Minuten investieren Sie ca. pro Tag in Ihr Studium (abgesehen von Lehrveranstaltungen)?","Lesen Sie zur Zeit ein Buch?","Wie alt sind Sie?","Sie sind ..."
"2023/10/17 4:38:56 PM OESZ","teils teils","trifft eher zu","2","trifft eher nicht zu","65","ca. 42%","4","350","170","20","Ja","21","Weiblich"
"2023/10/17 4:39:12 PM OESZ","trifft eher nicht zu","trifft überhaupt nicht zu","2","trifft eher zu","43","ca. 62%","2","629","4","23","Ja","21","Männlich"
"2023/10/17 4:39:18 PM OESZ","trifft eher nicht zu","trifft eher zu","4","trifft eher zu","65","ca. 82%","3","2000","75","120","Ja","22","Weiblich"
"2023/10/17 4:39:22 PM OESZ","trifft völlig zu","teils teils","3","trifft eher nicht zu","75","ca. 82%","2","2135","360","30","Nein","19","Weiblich"
"2023/10/17 4:39:50 PM OESZ","teils teils","teils teils","3","teils teils","60","ca. 62%","3","1436","200","30","Ja","22","Weiblich"
"2023/10/17 4:39:51 PM OESZ","teils teils","teils teils","4","trifft eher nicht zu","45","ca. 82%","4","5000","150","30","Ja","20","Weiblich"
"2023/10/17 4:39:52 PM OESZ","teils teils","teils teils","3","trifft eher nicht zu","63","ca. 62%","3","864","180","40","Nein","20","Weiblich"
"2023/10/17 4:39:54 PM OESZ","trifft eher zu","teils teils","4","trifft eher nicht zu","75","ca. 82%","3","20000","120","60","Ja","20","Weiblich"
"2023/10/17 4:40:02 PM OESZ","trifft völlig zu","teils teils","3","trifft eher nicht zu","53","ca. 62%","3","900","150","100","Ja","20","Weiblich"
"2023/10/17 4:40:03 PM OESZ","trifft völlig zu","teils teils","3","trifft eher nicht zu","50","ca. 82%","3","500","160","100","Ja","19","Weiblich"
"2023/10/17 4:40:16 PM OESZ","teils teils","teils teils","4","trifft eher nicht zu","80","ca. 62%","3","550","240","60","Nein","29","Männlich"
"2023/10/17 4:40:21 PM OESZ","trifft völlig zu","trifft eher zu","3","teils teils","50","ca. 82%","2","2000","200","100","Nein","20","Weiblich"
"2023/10/17 4:40:32 PM OESZ","trifft eher nicht zu","teils teils","4","trifft eher nicht zu","46","ca. 62%","2","187","100","60","Nein","21","Weiblich"
"2023/10/17 4:40:50 PM OESZ","teils teils","teils teils","2","trifft eher zu","37","ca. 62%","3","1200","180","60","Nein","21","Weiblich"
"2023/10/17 4:40:50 PM OESZ","trifft völlig zu","trifft eher zu","3","teils teils","28","ca. 82%","3","650","90","100","Nein","20","Männlich"
"2023/10/17 4:40:53 PM OESZ","trifft eher zu","teils teils","3","trifft eher nicht zu","24","ca. 62%","4","1010","30","1","Ja","21","Männlich"
"2023/10/17 4:40:55 PM OESZ","teils teils","trifft eher zu","4","trifft eher nicht zu","82","ca. 42%","3","1243","200","120","Ja","22","Weiblich"
"2023/10/17 4:42:06 PM OESZ","trifft völlig zu","trifft eher zu","2","trifft eher nicht zu","60","ca. 62%","2","448","400","180","Nein","19","Männlich"
"2023/10/17 4:42:31 PM OESZ","teils teils","trifft eher zu","2","trifft überhaupt nicht zu","42","ca. 82%","3","3537","1123","180","Ja","26","Weiblich"
